21364,BISC 112 - L02,LAB: BISC 110 & 112,16,0 / 16,Science Center 310,12:30 pm - 04:00 pm,T,Jocelyne Dolce,,NPS,More
21365,BISC 112 - L03,LAB: BISC 110 & 112,9,7 / 16,Science Center 310,08:30 am - 12:00 pm,W,Leah Okumura,,NPS,More
21366,BISC 112 - L04,LAB: BISC 110 & 112,11,5 / 16,Science Center 310,01:00 pm - 04:30 pm,Th,Jocelyne Dolce,,NPS,More
21367,BISC 112 - L05,LAB: BISC 110 & 112,13,3 / 16,Science Center 310,06:00 pm - 09:30 pm,Th,Melissa Beers,,NPS,More
21368,BISC 112 - L06,LAB: BISC 110 & 112,6,10 / 16,Science Center 310,01:00 pm - 04:30 pm,F,Jocelyne Dolce,,NPS,More
21265,BISC 113 - 01,Expl Organismal Bio w/Lab,16,0 / 16,Science Center 155,11:10 am - 12:20 pm,T,Martina Koniger,,"NPS, QRF",More
21373,BISC 113 - L01,LAB: BISC 111 & 113,16,0 / 16,Science Center 316,01:30 pm - 05:00 pm,M,Leah Okumura,,"NPS, QRF",More
21374,BISC 113 - L02,LAB: BISC 111 & 113,16,0 / 16,Science Center 316,12:30 pm - 04:00 pm,T,Julie Roden,,"NPS, QRF",More
21375,BISC 113 - L03,LAB: BISC 111 & 113,13,3 / 16,Science Center 316,02:15 pm - 05:45 pm,W,Janet McDonough,,"NPS, QRF",More
21376,BISC 113 - L04,LAB: BISC 111 & 113,14,2 / 16,Science Center 316,01:00 pm - 04:30 pm,Th,Leah Okumura,,"NPS, QRF",More
21377,BISC 113 - L05,LAB: BISC 111 & 113,8,8 / 16,Science Center 316,01:00 pm - 04:30 pm,F,Julie Roden,,"NPS, QRF",More
20994,BISC 198 - 01,Statistics in the Biosciences,25,0 / 25,Science Center 380,09:50 am - 11:00 am,TF,Jeffrey Hughes,,"NPS, QRF",More
24314,BISC 202 - 01,Evolution with Laboratory,9,3 / 12,Science Center 264,09:50 am - 11:00 am,MTh,Andrea Sequeira,,NPS,More
24315,BISC 202 - L01,LAB: Evolution,9,3 / 12,Science Center 302,01:30 pm - 05:00 pm,M,Jocelyne Dolce,,NPS,More
24318,BISC 204 - 01,Biological Modeling with Lab,14,2 / 16,Science Center 380,11:10 am - 12:20 pm,MTh,Jaclyn Matthes,,"MM, NPS",More
24319,BISC 204 - L01,LAB: Biological Modeling,14,2 / 16,Science Center E101,12:30 pm - 04:00 pm,T,Jaclyn Matthes,,"MM, NPS",More
23925,BISC 207 - 01,Biology of Plants w/Lab,9,3 / 12,Science Center 155,11:10 am - 12:20 pm,MTh,T. Kaye Peterman,,NPS,More
23992,BISC 207 - L01,LAB:Biology of Plants,9,3 / 12,Science Center E301,01:30 pm - 05:00 pm,M,T. Kaye Peterman,,NPS,More
21034,BISC 214 - 01,Animal Behavior w/Lab,21,3 / 24,Science Center 261,11:10 am - 12:20 pm,TF,Heather Mattila,,NPS,More
21035,BISC 214 - L01,LAB: Animal Behavior,11,1 / 12,Science Center 161,02:15 pm - 05:45 pm,W,Tess Killpack,,NPS,More
21362,BISC 214 - L02,LAB: Animal Behavior,10,2 / 12,Science Center 161,01:00 pm - 04:30 pm,F,Christa Skow,,NPS,More
20235,BISC 216 - 01,Mechanisms Animal Devel w/Lab,35,1 / 36,Science Center 396,09:50 am - 11:00 am,TF,Yuichiro Suzuki,Kimberly O'Donnell,NPS,More
20236,BISC 216 - L01,LAB: Mechanisms Animal Devel,11,1 / 12,Science Center 384,12:30 pm - 04:00 pm,T,Christa Skow,,NPS,More
20942,BISC 216 - L02,LAB: Mechanisms Animal Devel,12,0 / 12,Science Center 384,02:15 pm - 05:45 pm,W,Yuichiro Suzuki,,NPS,More
23655,BISC 216 - L03,LAB: Mechanisms Animal Devel,12,0 / 12,Science Center 384,01:00 pm - 04:30 pm,Th,Yuichiro Suzuki,,NPS,More
20172,BISC 220 - 01,Cell Biology w/Lab,53,7 / 60,Science Center 278,09:50 am - 11:00 am,MTh,Louise Darling,John Goss,NPS,More
20176,BISC 220 - L01,LAB: Cell Biology,12,0 / 12,Science Center 304,01:30 pm - 05:00 pm,M,Louise Darling,,NPS,More
20181,BISC 220 - L02,LAB: Cell Biology,12,0 / 12,Science Center 304,12:30 pm - 04:00 pm,T,Melissa Beers,,NPS,More
20186,BISC 220 - L03,LAB: Cell Biology,11,1 / 12,Science Center 304,02:15 pm - 05:45 pm,W,Louise Darling,,NPS,More
23044,BISC 220 - L04,LAB: Cell Biology,11,1 / 12,Science Center 304,01:00 pm - 04:30 pm,Th,Julie Roden,,NPS,More
23649,BISC 220 - L05,LAB: Cell Biology,7,5 / 12,Science Center 304,01:00 pm - 04:30 pm,F,John Goss,,NPS,More
20190,BISC 302 - 01,Human Physiology with Lab,24,0 / 24,Science Center 278,11:10 am - 12:20 pm,TF,John Cameron,,NPS,More
20191,BISC 302 - L01,LAB: Human Physiology,12,0 / 12,Science Center 186A,01:00 pm - 04:30 pm,Th,John Cameron,,NPS,More
20267,BISC 302 - L02,LAB: Human Physiology,12,0 / 12,Science Center 186A,01:00 pm - 04:30 pm,F,Tess Killpack,,NPS,More
